Column1,Column2,Column3,Gotas cortadas,Peso médio,Velocidade média,Tras-PV,Fritas-PV,Agit-PV,Meio-PV,Frente-PV,Comprimento médio (mm),Diâmetro,Temperatura
B1,193112,45292,21.8905,168.350396825397,90.0,2319.995510771361,2310.000920083388,2279.992512856158,2260.0000701876106,2203.034165392632,78.21306889769829,41.553615,1126.3883999999998
B1,193112,45293,21.8574,168.267901234568,90.0,2319.9970999999923,2309.9904749999982,2279.9985979166686,2260.0027201388725,2202.6271576388913,77.55330672572633,41.599365,1122.8087500000001
B1,193112,45294,0.9849,167.822222222222,90.0,2341.138350000001,2302.930949999997,2258.851068055558,2220.2582888888905,2184.177754861104,110.35636278439114,32.468334999999996,1373.89405
B1,192970,45294,20.9484,169.305434782609,90.0,2341.138350000001,2302.930949999997,2258.851068055558,2201.5573826388836,2176.411419444446,110.35636278439114,32.468334999999996,1373.89405
B1,192970,45295,21.0216,169.738723404255,89.0476190476191,2349.6268940604514,2299.7751000000017,2249.175793750001,2201.0314395833298,2172.996768055554,85.63447050339948,18.064700000000002,1701.35015
B1,192970,45296,21.4492,173.592340425532,86.0,2349.9943067314416,2300.0037750000015,2249.9945708333307,2209.998500000004,2175.0261708333305,140.54770648040605,32.902474999999995,1854.261
B1,192970,45297,21.5256,170.225541125541,86.0,2349.996250000003,2299.9977,2250.000549305546,2210.0053208333347,2175.5373902777774,144.6634709675385,32.670215,1835.1277
B1,192970,45298,21.4387,171.717934782609,86.7027027027027,2349.572,2299.9902499999985,2250.011903472223,2209.996236805557,2177.025090277783,141.4648893233272,30.168395,1838.3443
B1,192970,45299,21.5064,166.527027027027,87.8461538461538,2349.572,2299.9943749999984,2249.9988326388807,2210.004206944441,2177.016075000005,140.57329210260423,32.485240000000005,1381.844
B1,192970,45300,21.5235,169.634112149533,88.0,2349.989539958309,2300.007075,2249.9977124999987,2210.00348263889,2176.9831972222323,128.3929291018304,32.892615,1038.628815
B1,192970,45301,21.4267,169.380786026201,88.0,2349.9924750000046,2300.001424999999,2249.9977097222168,2209.99652361111,2176.9779611111203,127.04474024540265,33.011675,1049.80882
B1,193164,45302,12.4944,145.255357142857,96.0,2349.9919500000005,2299.9916000000017,2250.001347916671,2209.9964687499983,2176.9709125000154,110.87919010380939,33.861025,1079.609
B1,192970,45302,7.9468,169.197058823529,84.4705882352941,2349.989539958309,2300.0100750000024,2250.001347916671,2209.9964687499983,2176.9709125000154,110.87919010380939,33.861025,1079.609
B1,193164,45303,20.0448,148.478851963746,96.0,2349.9924750000046,2300.0100750000024,2250.0029270833415,2209.9977527777737,2179.9357618055506,95.18829053887706,35.708475,1035.70575
B1,193164,45304,20.287,148.492452830189,96.0,2349.9919500000005,2300.021550000004,2249.999818055567,2210.00397222222,2180.0102958333323,87.37730277463686,33.97674,1049.6183
B1,193164,45305,20.1206,145.858017492711,96.9491525423729,2349.9909500000035,2300.0102749999996,2249.9955527777734,2209.9993687500005,2177.9200979166676,98.01265064598735,37.591139999999996,1031.8624
B1,193164,45306,20.2607,146.571954674221,96.0,2349.990600000002,2300.0031999999983,2245.1205090277804,2210.0003416666664,2175.9345958333306,99.57448706447505,36.24677,1027.4324
B1,193164,45307,20.403,147.073351648352,95.0862068965517,2349.990350000003,2300.006724999999,2244.993627777784,2210.0009986111136,2175.0158812499953,98.25621011255512,36.46311,1033.66115
B1,193164,45308,20.3996,147.231301939058,86.9189189189189,2349.9908000000023,2300.005675000001,2245.0047749999994,2209.994575694443,2174.9935513888854,96.68082899305556,35.98344,1018.45375
